id,year,origin,automatic-transmission,cylinders,displacement,drive,cityMPG,highwayMPG,class-size,guzzler,smog-score
19659,2004,1,1,4,2.2,1,25.5,41.5,0,0,2
19660,2004,1,0,4,2.2,1,29.1,44.8718,0,0,2
19661,2004,3,1,4,2.5,4,23.9641,35.1166,0,0,5
19661,2004,3,1,4,2.5,4,23.9641,35.1166,0,0,9
19662,2004,3,0,4,2.5,4,23.7061,35.5227,0,0,5
19662,2004,3,0,4,2.5,4,23.7061,35.5227,0,0,9
19665,2004,3,1,4,2.3,1,27.9527,39.5,0,0,2
19666,2004,3,0,4,2.3,1,27.8,39.625,0,0,2
19668,2004,3,1,4,2.0,1,24.5996,38.4958,0,0,5
19668,2004,3,1,4,2.0,1,24.5996,38.4958,0,0,6
19669,2004,3,0,4,2.0,1,24.7,38.1,0,0,5
19669,2004,3,0,4,2.0,1,24.7,38.1,0,0,6
19672,2004,3,1,4,2.4,1,25.8154,40.7781,0,0,5
19672,2004,3,1,4,2.4,1,25.8154,40.7781,0,0,6
19674,2004,3,1,6,3.3,1,22.6,37.5,0,0,5
19674,2004,3,1,6,3.3,1,22.6,37.5,0,0,6
19675,2004,3,1,4,1.8,1,32.2,48.3,0,0,1
19675,2004,3,1,4,1.8,1,32.2,48.3,0,0,2
19676,2004,3,0,4,1.8,1,35.9542,51.4497,0,0,1
19676,2004,3,0,4,1.8,1,35.9542,51.4497,0,0,2
19677,2004,3,1,4,1.5,1,36.7399,50.3196,0,0,1
19678,2004,3,0,4,1.5,1,39.1987,54.5382,0,0,1
19679,2004,2,0,4,1.9,1,41.8692,59.5832,0,0,1
19680,2004,2,1,4,1.9,1,35.8652,55.6253,0,0,1
19681,2004,2,1,4,2.0,1,26.7465,38.5338,0,0,5
19682,2004,2,0,4,2.0,1,26.5922,39.3543,0,0,5
19685,2004,2,0,6,2.8,1,23.668,37.8585,0,0,1
19689,2004,2,0,4,1.9,1,41.8692,59.5832,0,0,1
19690,2004,2,1,4,1.9,1,35.8652,55.6253,0,0,1
19691,2004,2,1,4,2.0,1,26.7465,38.5338,0,0,5
19691,2004,2,1,4,2.0,1,26.7465,38.5338,0,0,9
19692,2004,2,0,4,2.0,1,26.5922,39.3543,0,0,5
19692,2004,2,0,4,2.0,1,26.5922,39.3543,0,0,9
19693,2004,2,0,6,2.8,1,23.668,37.8585,0,0,1
19694,2004,2,0,4,1.8,4,23.8,38.8,0,0,2
19695,2004,2,1,4,1.8,4,22.3949,36.4516,0,0,2
