logPowerJan11,logPowerFeb11,logPowerMar11,logPowerApr11,logPowerMay11,logPowerJun11,logPowerJul11,logPowerAug11,logPowerSep11,logPowerOct11,logPowerNov11,logPowerDec11,TempJan11,TempFeb11,TempMar11,TempApr11,TempMay11,TempJun11,TempJul11,TempAug11,TempSep11,TempOct11,TempNov11,TempDec11,Longitude,Latitude,logSqMeters,logAvgIncome,AvgYearBuilt,ResidentialCustomers,CommercialCustomers,PercentMXR,PercentMFR,PercentCOM,PercentIND,PercentNA,PercentOTH,PercentSFR
2.5276,2.5198,2.5514,2.5403,2.5276,2.5705,2.8209,2.8306,2.8169,2.7987,2.7589,2.7738,56.66,52.7,58.46,63.14,63.68,67.1,74.48,76.1,73.4,67.82,57.74,53.24,-118.3752,34.1706,5.5229,4.7059,1990,87,13,11,61,17,0,7,1,4
2.6794,2.6117,2.6532,2.5729,2.6053,2.5955,2.6096,2.5832,2.5866,2.5988,2.6201,2.6821,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.2896,33.92,5.5366,4.8068,1968,93,6,10,33,1,0,0,0,56
3.8305,3.8084,3.8284,3.8159,3.8547,3.8453,3.8132,3.7982,3.8012,3.81,3.7823,3.823,59.18,55.4,57.92,61.7,62.42,63.68,68.36,67.64,66.92,64.4,59.18,55.04,-118.3839,33.9561,5.5799,4.8092,1964,0,99,0,72,11,4,0,0,13
2.9279,2.8938,2.9415,2.9494,2.968,2.9836,3.1062,3.129,3.1146,3.1123,3.055,3.0678,56.66,52.7,58.46,63.14,63.68,67.1,74.48,76.1,73.4,67.82,57.74,53.24,-118.3729,34.1664,5.572,4.7094,1992,86,13,2,23,38,9,23,4,2
2.4183,2.3927,2.4346,2.4728,2.4669,2.4728,2.7672,2.7853,2.8162,2.8122,2.8261,2.8215,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3055,33.8103,5.9269,5.0048,1972,93,7,2,1,1,4,1,1,92
2.6702,2.5877,2.6464,2.5694,2.6191,2.6138,2.6503,2.6191,2.6405,2.6405,2.6702,2.7016,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.2837,33.9199,5.5651,4.718,1968,90,10,10,39,2,0,7,0,43
3.7242,3.7208,3.7547,3.7428,3.7843,3.754,3.6124,3.6342,3.6186,3.6463,3.617,3.6861,57.38,51.98,57.74,61.88,61.34,65.12,61.52,68.54,66.92,64.94,59.9,54.32,-118.3996,33.976,5.9256,5.1529,1957,0,95,0,2,2,2,10,1,82
3.986,3.9483,3.9979,3.9621,3.9962,3.9545,3.9305,3.9085,3.9272,3.9615,3.8911,3.9538,59.18,55.4,57.92,61.7,62.42,63.68,68.36,67.64,66.92,64.4,59.18,55.04,-118.3997,33.9679,5.7333,5.2222,1953,0,100,0,0,2,0,4,7,88
1.6335,1.5682,1.6232,1.5798,1.6435,1.6232,2.7168,2.7419,2.711,2.6955,2.705,2.7404,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.2936,33.7502,5.4777,4.8233,1967,92,9,48,21,3,6,0,0,21
3.261,3.2485,3.2598,3.2749,3.2632,3.2951,3.1421,3.2076,3.2066,3.2227,3.1967,3.2991,57.38,52.52,58.46,62.96,63.32,67.1,75.02,76.46,73.4,67.64,56.3,52.88,-118.4335,34.1831,5.4483,4.7245,1971,0,100,7,23,7,0,5,0,59
